           , N1           , N2           , N3           , N4           , N5           , N6           , N7           , N8           , N9           , N10          , N11          , N12         
1990-01-01 , 0.1193474098 , 0.0040887620 , 0.0080364651 , 0.1193474098 , 0.0134110062 , 0.0151796128 , 0.0330954515 , 0.0246332239 , 0.1193474098 , 0.0096483584 , 0.0221641965 , 0.0135890820
1990-01-02 , 0.1160311876 , 0.0039603339 , 0.0077979193 , 0.1160311876 , 0.0130015903 , 0.0147161978 , 0.0321315058 , 0.0239156086 , 0.1160311876 , 0.0093570003 , 0.0215116995 , 0.0131722909
1990-01-03 , 0.1128244541 , 0.0038361161 , 0.0075548525 , 0.1128244541 , 0.0126059356 , 0.0142672221 , 0.0311978799 , 0.0232133653 , 0.1128244541 , 0.0090744584 , 0.0208784314 , 0.0127614621
1990-01-04 , 0.1097263831 , 0.0037168996 , 0.0073200649 , 0.1097263831 , 0.0122236464 , 0.0138345222 , 0.0302952236 , 0.0225130434 , 0.1097263831 , 0.0088014532 , 0.0202662997 , 0.0123644228
1990-01-05 , 0.1067305459 , 0.0036007916 , 0.0070932459 , 0.1067305459 , 0.0118542282 , 0.0134148492 , 0.0294224208 , 0.0218166774 , 0.1067305459 , 0.0085375185 , 0.0196739197 , 0.0119810315
1990-01-06 , 0.1039723361 , 0.0034877635 , 0.0068742539 , 0.1039723361 , 0.0114972998 , 0.0130083437 , 0.0285784120 , 0.0211430020 , 0.1039723361 , 0.0082824424 , 0.0191011782 , 0.0116106103
1990-01-07 , 0.1011990229 , 0.0033786350 , 0.0066624959 , 0.1011990229 , 0.0111523805 , 0.0126155712 , 0.0277622505 , 0.0204916212 , 0.1011990229 , 0.0080358999 , 0.0185474537 , 0.0112526787
1990-01-08 , 0.0984776744 , 0.0032734906 , 0.0064580564 , 0.0984776744 , 0.0108190042 , 0.0122359665 , 0.0269729897 , 0.0198632699 , 0.0984776744 , 0.0077975520 , 0.0180120114 , 0.0109072084
1990-01-09 , 0.0958446997 , 0.0031741388 , 0.0062699212 , 0.0958446997 , 0.0104968035 , 0.0118706031 , 0.0262101491 , 0.0193012378 , 0.0958446997 , 0.0075675115 , 0.0174954025 , 0.0105842872
1990-01-10 , 0.0933007276 , 0.0030806365 , 0.0061054371 , 0.0933007276 , 0.0101864426 , 0.0115264326 , 0.0254786314 , 0.0188872726 , 0.0933007276 , 0.0073483644 , 0.0170059627 , 0.0102927032
1990-01-11 , 0.090838178  , 0.0029916268 , 0.0059351886 , 0.090838178  , 0.0098882322 , 0.0112038505 , 0.0247783661 , 0.0184359233 , 0.090838178  , 0.0071398417 , 0.0165427878 , 0.0099987877
1990-01-12 , 0.0884685658 , 0.0029133831 , 0.0057643184 , 0.0884685658 , 0.0096070325 , 0.0109151204 , 0.0241235662 , 0.0179874701 , 0.0884685658 , 0.0069451509 , 0.0161192151 , 0.0097075709
1990-01-13 , 0.0861781438 , 0.0028401834 , 0.0056014872 , 0.0861781438 , 0.0093370577 , 0.0106454920 , 0.0234973484 , 0.0175538098 , 0.0861781438 , 0.0067600956 , 0.0157190393 , 0.0094291263
1990-01-14 , 0.0839445114 , 0.0027610778 , 0.0054372716 , 0.0839445114 , 0.0090672811 , 0.0103563097 , 0.0228629500 , 0.0170713918 , 0.0839445114 , 0.0065717908 , 0.0153010615 , 0.0091498481
1990-01-15 , 0.0817785687 , 0.0026779457 , 0.0052743134 , 0.0817785687 , 0.0088034453 , 0.0100559376 , 0.0222351709 , 0.0165635567 , 0.0817785687 , 0.0063830056 , 0.0148763162 , 0.0088751616
1990-01-16 , 0.0800191173 , 0.0027263217 , 0.0051859820 , 0.0800191173 , 0.0086483284 , 0.0100277370 , 0.0218392478 , 0.0164025765 , 0.0800191173 , 0.0062653436 , 0.0146317940 , 0.0087255690
1990-01-17 , 0.0796339953 , 0.0030302541 , 0.0054079125 , 0.0796339953 , 0.0088948709 , 0.0108164045 , 0.0225982241 , 0.0181889852 , 0.0796339953 , 0.0065182014 , 0.0154740369 , 0.0090642576
1990-01-18 , 0.0782610010 , 0.0029177347 , 0.0052379889 , 0.0782610010 , 0.0086658619 , 0.0103377165 , 0.0219775305 , 0.0170942800 , 0.0782610010 , 0.0062971893 , 0.0148679520 , 0.0088267291
1990-01-19 , 0.0762653139 , 0.0028043252 , 0.0050673873 , 0.0762653139 , 0.0084125800 , 0.0099647522 , 0.0213350014 , 0.0164409919 , 0.0762653139 , 0.0060909271 , 0.0143570228 , 0.0085475215
1990-01-20 , 0.0743178120 , 0.0027368050 , 0.0049234460 , 0.0743178120 , 0.0081733279 , 0.0096963670 , 0.0207586711 , 0.0159730134 , 0.0743178120 , 0.0059180224 , 0.0139614105 , 0.0083014876
1990-01-21 , 0.0725328728 , 0.0027669835 , 0.0048281916 , 0.0725328728 , 0.0079831299 , 0.0096364622 , 0.0203139410 , 0.0158238587 , 0.0725328728 , 0.0057894106 , 0.0137070690 , 0.0081244716
1990-01-22 , 0.071094633  , 0.0027583793 , 0.0048595852 , 0.071094633  , 0.0079498008 , 0.0097714317 , 0.0203148100 , 0.0162798563 , 0.071094633  , 0.0058166503 , 0.0139231222 , 0.0081325955
1990-01-23 , 0.0702900710 , 0.0028748688 , 0.0050636574 , 0.0702900710 , 0.0081515348 , 0.0101813563 , 0.0208285436 , 0.0174701549 , 0.0702900710 , 0.0059850479 , 0.0145238099 , 0.0084341544
